Latency (ms),InternVision,Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,5.5,13.27,29.44,47.88
TP=2,3.62,7.78,16,26.38
CP=2,3.93,9.94,22.85,38.63
TP=4,2.59,5.19,9.83,15.21
CP=4,3.06,8.45,19.56,34.18
