Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,8.09,16.94,27.09
TP=2,5.09,9.87,15.04
CP=2,6.18,13.23,22.20
TP=4,3.59,6.44,9.47
CP=4,5.45,11.86,20.27
