Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,39.30,93.48,158.08
TP=2,21.34,49.45,82.30
CP=2,20.25,47.96,79.92
TP=4,12.37,27.80,44.92
CP=4,13.05,29.61,50.28
