Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,144.94,348.39,607.17
TP=2,75.84,179.48,310.95
CP=2,73.07,178.24,304.42
TP=4,41.23,95.47,162.87
CP=4,37.70,90.64,153.20
