Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,67.14,160.24,268.69
TP=2,35.78,83.85,139.14
CP=2,34.27,82.70,135.27
TP=4,20.20,45.63,74.68
CP=4,20.44,48.52,80.49
