Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,70.87,172.41,298.59
TP=2,37.55,89.93,153.61
CP=2,36.54,87.77,150.33
TP=4,20.99,49.15,81.97
CP=4,24.04,57.29,102.54
