Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,17.77,39.42,63.57
TP=2,10.20,21.37,34.56
CP=2,11.85,27.03,43.97
TP=4,6.85,12.99,20.27
CP=4,9.43,21.63,36.86
