Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,47.24,112.43,198.48
TP=2,25.27,58.68,102.39
CP=2,25.15,62.62,104.54
TP=4,14.38,32.24,54.39
CP=4,21.14,50.12,89.76
