Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,9.98,20.89,32.16
TP=2,6.17,12.05,17.88
CP=2,6.87,14.66,24.10
TP=4,4.29,7.74,11.21
CP=4,5.65,12.25,20.74
