Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,13.94,29.72,44.95
TP=2,8.48,16.75,24.68
CP=2,8.64,18.31,28.46
TP=4,5.77,10.62,15.34
CP=4,6.50,13.88,22.86
