Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,26.16,60.60,104.68
TP=2,14.41,32.33,54.88
CP=2,14.05,32.90,54.34
TP=4,8.73,18.31,29.89
CP=4,11.84,26.74,46.53
