Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,9.63,22.12,37.91
TP=2,5.75,12.02,20.40
CP=2,8.31,19.24,
TP=4,3.80,7.32,11.65
CP=4,7.60,17.73,31.84
