Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,119.78,291.39,502.89
TP=2,62.80,150.74,258.34
CP=2,60.91,150.02,252.46
TP=4,34.64,80.10,136.11
CP=4,36.60,87.93,150.67
