Power (w),InternVision,Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,45.3,49.65,51.21,52.39
TP=2,43.5,48.27,50.4,51.74
CP=2,44.7,49.14,50.98,52.24
TP=4,40.41,46.21,48.68,50.3
CP=4,43.37,49.08,50.08,52.84
