Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,11.90,25.26,38.28
TP=2,7.26,14.24,21.15
CP=2,7.62,16.23,26.13
TP=4,4.98,9.15,13.13
CP=4,6.23,13.34,22.24
