Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,81.94,193.44,325.98
TP=2,43.53,100.55,168.49
CP=2,41.49,99.24,163.83
TP=4,24.35,54.41,89.68
CP=4,21.45,50.80,82.76
