Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,11.26,25.56,42.51
TP=2,6.72,13.82,23.09
CP=2,9.11,20.96,36.19
TP=4,4.47,8.53,13.40
CP=4,8.01,18.63,32.97
