Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,15.11,33.39,52.66
TP=2,8.83,18.19,29.00
CP=2,10.87,24.87,41.21
TP=4,5.93,11.21,17.03
CP=4,8.94,20.55,35.47
