Latency (ms),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,6.58,14.00,23.44
TP=2,4.16,8.21,12.97
CP=2,5.50,11.93,20.42
TP=4,2.96,5.31,7.80
CP=4,4.95,10.88,18.91
