Power (w),Qwen3_1.7B,Qwen3_4B,Qwen3_8B
No Parallelism,55.32,59.29,61.45
TP=2,53.38,57.65,60.03
CP=2,55.09,58.61,61.09
TP=4,49.88,54.75,55.61
CP=4,54.71,57.43,61.38
