64,16,32,8,64,os,815,7.853
32,32,32,8,64,os,407,15.725
64,16,64,8,64,os,1071,11.951
32,32,64,8,64,os,535,23.925
64,32,32,8,64,os,815,15.706
16,128,32,8,64,os,407,31.450
64,32,64,8,64,os,1071,23.903
16,128,64,8,64,os,535,47.850
64,64,32,8,64,os,815,31.411
32,128,32,8,64,os,815,31.411
16,256,32,8,64,os,815,31.411
64,64,64,8,64,os,1071,47.806
32,128,64,8,64,os,1071,47.806
16,256,64,8,64,os,1071,47.806
128,64,32,8,64,os,1631,31.392
32,256,32,8,64,os,1631,31.392
128,64,64,8,64,os,2143,47.783
32,256,64,8,64,os,2143,47.783
