16,64,16,8,16,os,303,42.244
64,32,8,8,16,os,479,26.722
32,32,16,8,16,os,303,42.244
64,64,4,8,16,os,831,15.403
16,64,32,8,16,os,431,59.397
64,32,16,8,16,os,607,42.175
32,32,32,8,16,os,431,59.397
64,64,8,8,16,os,959,26.694
16,64,64,8,16,os,687,74.527
64,32,32,8,16,os,863,59.328
32,32,64,8,16,os,687,74.527
64,64,16,8,16,os,1215,42.140
16,128,16,8,16,os,607,42.175
32,128,8,8,16,os,959,26.694
64,128,4,8,16,os,1663,15.394
16,128,32,8,16,os,863,59.328
32,128,16,8,16,os,1215,42.140
64,128,8,8,16,os,1919,26.681
16,256,16,8,16,os,1215,42.140
32,256,8,8,16,os,1919,26.681
16,64,8,8,16,os,239,26.778
64,32,4,8,16,os,415,15.422
32,32,8,8,16,os,239,26.778
64,64,2,8,16,os,767,8.344
16,128,8,8,16,os,479,26.722
32,128,4,8,16,os,831,15.403
64,128,2,8,16,os,1535,8.339
16,256,8,8,16,os,959,26.694
32,256,4,8,16,os,1663,15.394
64,256,2,8,16,os,3071,8.336
64,256,4,8,16,os,3327,15.389
128,128,2,8,16,os,3071,8.336
128,128,4,8,16,os,3327,15.389
128,256,2,8,16,os,6143,8.335
32,16,32,8,16,os,215,59.535
8,64,32,8,16,os,215,59.535
32,16,64,8,16,os,343,74.636
8,64,64,8,16,os,343,74.636
8,128,32,8,16,os,431,59.397
8,128,64,8,16,os,687,74.527
8,256,32,8,16,os,863,59.328
