Latency (ms),Qwen3_1.7B TP,Qwen3_1.7B CP,Qwen3_4B TP,Qwen3_4B CP,Qwen3_8B TP,Qwen3_8B CP
4,40.24,21.60,68.85,47.36,110.82,65.83
8,24.29,17.04,44.27,38.92,71.50,60.71
16,17.31,15.78,36.35,36.54,60.42,58.17
32,16.11,15.15,35.55,35.35,59.13,56.91
Ideal,16.11,14.50,35.55,34.15,59.13,55.61
