Latency (ms),Qwen3_1.7B TP,Qwen3_4B TP,Qwen3_8B TP
4,5.32,8.85,12.14
8,4.31,7.91,10.17
16,4.21,7.91,10.14
32,4.21,7.91,10.14
Ideal,4.21,7.91,10.14
