Latency (ms),Qwen3_1.7B TP,Qwen3_4B TP,Qwen3_8B TP
16,3.14,5.00,7.26
32,2.83,4.68,6.77
64,2.76,4.68,6.77
128,2.76,4.68,6.77
Ideal,2.76,4.68,6.77
