Bandwidth (GB/s),Qwen3_1.7B TP,Qwen3_4B TP,Qwen3_8B TP
16,3.60,6.03,9.09
32,3.21,5.42,7.97
64,3.02,5.10,7.42
128,2.92,4.93,7.14
Ideal,2.76,4.68,6.77
