Latency (ms),Qwen3_1.7B TP,Qwen3_4B TP,Qwen3_8B TP
16,3.54,6.00,9.01
32,3.17,5.37,7.92
64,2.98,5.05,7.37
128,2.89,4.89,7.10
Ideal,2.76,4.68,6.77
