Latency (ms),Qwen3_1.7B TP,Qwen3_4B TP,Qwen3_8B TP
16,3.20,5.97,9.46
32,3.16,5.97,9.46
64,3.16,5.97,9.46
128,3.16,5.97,9.46
Ideal,3.16,5.97,9.46
