Latency (ms),Qwen3_1.7B TP,Qwen3_4B TP,Qwen3_8B TP
4,4.99,9.22,15.19
8,4.51,8.66,14.13
16,4.39,8.50,13.70
32,4.34,8.42,13.49
Ideal,4.28,8.31,13.23
